學年度	階段	學號	宿舍	房號						第一志願	870
105	第一志願	410771	九宿舍	323							
105	第一志願	410817	九宿舍	323							
105	第一志願	411216	九宿舍	324							
105	第一志願	411241	九宿舍	324							
105	第一志願	411265	九宿舍	324							
105	第一志願	411281	九宿舍	324							
105	第一志願	411203	九宿舍	327							
105	第一志願	411225	九宿舍	327							
105	第一志願	411250	九宿舍	327							
105	第一志願	411254	九宿舍	327							
105	第一志願	316084	九宿舍	328							
105	第一志願	416008	九宿舍	328							
105	第一志願	416074	九宿舍	328							
105	第一志願	416301	九宿舍	328							
105	第一志願	412503	九宿舍	329							
105	第一志願	412505	九宿舍	329							
105	第一志願	412533	九宿舍	329							
105	第一志願	412553	九宿舍	329							
105	第一志願	412201	九宿舍	331							
105	第一志願	412211	九宿舍	331							
105	第一志願	412216	九宿舍	331							
105	第一志願	412229	九宿舍	331							
105	第一志願	410007	九宿舍	333							
105	第一志願	410018	九宿舍	333							
105	第一志願	410020	九宿舍	333							
105	第一志願	410023	九宿舍	333							
105	第一志願	411224	九宿舍	402							
105	第一志願	411292	九宿舍	402							
105	第一志願	411293	九宿舍	402							
105	第一志願	411300	九宿舍	402							
105	第一志願	412237	九宿舍	407							
105	第一志願	412238	九宿舍	407							
105	第一志願	412246	九宿舍	407							
105	第一志願	412257	九宿舍	407							
105	第一志願	412207	九宿舍	410							
105	第一志願	412220	九宿舍	410							
105	第一志願	412255	九宿舍	410							
105	第一志願	412256	九宿舍	410							
105	第一志願	410739	九宿舍	412							
105	第一志願	410740	九宿舍	412							
105	第一志願	410741	九宿舍	412							
105	第一志願	410753	九宿舍	412							
105	第一志願	410112	九宿舍	418							
105	第一志願	410129	九宿舍	418							
105	第一志願	410134	九宿舍	418							
105	第一志願	410150	九宿舍	418							
105	第一志願	413313	九宿舍	422							
105	第一志願	413336	九宿舍	422							
105	第一志願	413366	九宿舍	422							
105	第一志願	413369	九宿舍	422							
105	第一志願	311306	九宿舍	425							
105	第一志願	311307	九宿舍	425							
105	第一志願	311309	九宿舍	425							
105	第一志願	311312	九宿舍	425							
105	第一志願	411218	九宿舍	428							
105	第一志願	411228	九宿舍	428							
105	第一志願	411242	九宿舍	428							
105	第一志願	411286	九宿舍	428							
105	第一志願	413418	九宿舍	431							
105	第一志願	413457	九宿舍	431							
105	第一志願	413465	九宿舍	431							
105	第一志願	413466	九宿舍	431							
105	第一志願	316002	九宿舍	432							
105	第一志願	316019	九宿舍	432							
105	第一志願	316073	九宿舍	432							
105	第一志願	316319	九宿舍	432							
105	第一志願	410104	十三宿	101							
105	第一志願	410111	十三宿	101							
105	第一志願	410127	十三宿	101							
105	第一志願	410146	十三宿	101							
105	第一志願	317009	十三宿	102							
105	第一志願	417013	十三宿	102							
105	第一志願	417040	十三宿	102							
105	第一志願	417052	十三宿	102							
105	第一志願	412027	十三宿	103							
105	第一志願	412101	十三宿	103							
105	第一志願	412110	十三宿	103							
105	第一志願	412112	十三宿	103							
105	第一志願	410124	十三宿	104							
105	第一志願	410130	十三宿	104							
105	第一志願	410176	十三宿	104							
105	第一志願	410181	十三宿	104							
105	第一志願	413308	十三宿	105							
105	第一志願	413333	十三宿	105							
105	第一志願	413344	十三宿	105							
105	第一志願	413351	十三宿	105							
105	第一志願	410761	十三宿	106							
105	第一志願	410764	十三宿	106							
105	第一志願	410812	十三宿	106							
105	第一志願	410853	十三宿	106							
105	第一志願	411524	十三宿	111							
105	第一志願	411539	十三宿	111							
105	第一志願	411551	十三宿	111							
105	第一志願	411556	十三宿	111							
105	第一志願	210013	十三宿	112							
105	第一志願	210019	十三宿	112							
105	第一志願	211026	十三宿	112							
105	第一志願	211042	十三宿	112							
105	第一志願	413102	十三宿	113							
105	第一志願	413109	十三宿	113							
105	第一志願	413117	十三宿	113							
105	第一志願	413143	十三宿	113							
105	第一志願	312117	十三宿	114							
105	第一志願	412024	十三宿	114							
105	第一志願	412028	十三宿	114							
105	第一志願	412120	十三宿	114							
105	第一志願	411274	十三宿	201							
105	第一志願	412002	十三宿	201							
105	第一志願	412009	十三宿	201							
105	第一志願	412022	十三宿	201							
105	第一志願	310772	十三宿	205							
105	第一志願	310828	十三宿	205							
105	第一志願	310834	十三宿	205							
105	第一志願	310838	十三宿	205							
105	第一志願	410705	十三宿	210							
105	第一志願	410718	十三宿	210							
105	第一志願	410793	十三宿	210							
105	第一志願	411273	十三宿	210							
105	第一志願	411610	十三宿	211							
105	第一志願	411611	十三宿	211							
105	第一志願	411617	十三宿	211							
105	第一志願	411625	十三宿	211							
105	第一志願	413217	十三宿	215							
105	第一志願	413235	十三宿	215							
105	第一志願	413248	十三宿	215							
105	第一志願	413256	十三宿	215							
105	第一志願	410508	十三宿	219							
105	第一志願	410520	十三宿	219							
105	第一志願	410533	十三宿	219							
105	第一志願	410538	十三宿	219							
105	第一志願	419036	十三宿	220							
105	第一志願	419038	十三宿	220							
105	第一志願	419046	十三宿	220							
105	第一志願	419049	十三宿	220							
105	第一志願	417024	十三宿	221							
105	第一志願	417033	十三宿	221							
105	第一志願	417071	十三宿	221							
105	第一志願	417081	十三宿	221							
105	第一志願	417005	十三宿	224							
105	第一志願	417032	十三宿	224							
105	第一志願	417043	十三宿	224							
105	第一志願	417056	十三宿	224							
105	第一志願	410501	十三宿	225							
105	第一志願	410514	十三宿	225							
105	第一志願	410526	十三宿	225							
105	第一志願	410531	十三宿	225							
105	第一志願	416007	十三宿	303							
105	第一志願	416079	十三宿	303							
105	第一志願	416092	十三宿	303							
105	第一志願	416312	十三宿	303							
105	第一志願	417078	十三宿	306							
105	第一志願	417082	十三宿	306							
105	第一志願	417088	十三宿	306							
105	第一志願	417090	十三宿	306							
105	第一志願	411502	十三宿	308							
105	第一志願	411518	十三宿	308							
